time,target_idx,range_m,azimuth_deg,deg_error
8.91,4,850.3411,291.8492,3.0000
8.92,4,851.0710,291.8503,3.1000
8.93,4,851.7961,291.8515,3.2000
8.94,4,852.5162,291.8530,3.3000
8.95,4,853.2314,291.8546,3.4000
8.96,4,853.9415,291.8564,3.5000
8.97,4,854.6467,291.8584,3.5000
8.98,4,855.3469,291.8606,3.6000
8.99,4,856.0421,291.8629,3.7000
9,4,856.7322,291.8654,3.8000
9.01,4,857.4173,291.8681,3.9000
9.02,4,858.0974,291.8710,4.0000
9.03,4,858.7723,291.8740,4.0000
9.04,4,859.4422,291.8772,4.1000
9.05,4,860.1070,291.8806,4.2000
9.06,4,860.7667,291.8841,4.3000
9.07,4,861.4212,291.8878,4.4000
9.08,4,862.0706,291.8917,4.5000
9.09,4,862.7149,291.8957,4.5000
9.1,4,863.3540,291.8999,4.6000
9.11,4,863.9879,291.9042,4.7000
9.12,4,864.6166,291.9087,4.8000
9.13,4,865.2401,291.9134,4.9000
9.14,4,865.8585,291.9182,5.0000
16.27,1,282.8427,225.0000,-4.9000
16.28,1,282.8427,225.0000,-4.8000
16.29,1,282.8427,225.0000,-4.8000
16.3,1,282.8427,225.0000,-4.7000
16.31,1,282.8427,225.0000,-4.6000
16.32,1,282.8427,225.0000,-4.5000
16.33,1,282.8427,225.0000,-4.4000
16.34,1,282.8427,225.0000,-4.4000
16.35,1,282.8427,225.0000,-4.3000
16.36,1,282.8427,225.0000,-4.2000
16.37,1,282.8427,225.0000,-4.1000
16.38,1,282.8427,225.0000,-4.0000
16.39,1,282.8427,225.0000,-4.0000
16.4,1,282.8427,225.0000,-3.9000
16.41,1,282.8427,225.0000,-3.8000
16.42,1,282.8427,225.0000,-3.7000
16.43,1,282.8427,225.0000,-3.6000
16.44,1,282.8427,225.0000,-3.6000
16.45,1,282.8427,225.0000,-3.5000
16.46,1,282.8427,225.0000,-3.4000
16.47,1,282.8427,225.0000,-3.3000
16.48,1,282.8427,225.0000,-3.2000
16.49,1,282.8427,225.0000,-3.2000
16.5,1,282.8427,225.0000,-3.1000
16.51,1,282.8427,225.0000,-3.0000
16.52,1,282.8427,225.0000,-2.9000
16.53,1,282.8427,225.0000,-2.8000
16.54,1,282.8427,225.0000,-2.8000
16.55,1,282.8427,225.0000,-2.7000
16.56,1,282.8427,225.0000,-2.6000
16.57,1,282.8427,225.0000,-2.5000
16.58,1,282.8427,225.0000,-2.4000
16.59,1,282.8427,225.0000,-2.4000
16.6,1,282.8427,225.0000,-2.3000
16.61,1,282.8427,225.0000,-2.2000
16.62,1,282.8427,225.0000,-2.1000
16.63,1,282.8427,225.0000,-2.0000
16.64,1,282.8427,225.0000,-2.0000
16.65,1,282.8427,225.0000,-1.9000
16.66,1,282.8427,225.0000,-1.8000
16.67,1,282.8427,225.0000,-1.7000
16.68,1,282.8427,225.0000,-1.6000
16.69,1,282.8427,225.0000,-1.6000
16.7,1,282.8427,225.0000,-1.5000
16.71,1,282.8427,225.0000,-1.4000
16.72,1,282.8427,225.0000,-1.3000
16.73,1,282.8427,225.0000,-1.2000
16.74,1,282.8427,225.0000,-1.2000
16.75,1,282.8427,225.0000,-1.1000
16.76,1,282.8427,225.0000,-1.0000
16.77,1,282.8427,225.0000,-0.9000
16.78,1,282.8427,225.0000,-0.8000
16.79,1,282.8427,225.0000,-0.8000
16.8,1,282.8427,225.0000,-0.7000
16.81,1,282.8427,225.0000,-0.6000
16.82,1,282.8427,225.0000,-0.5000
16.83,1,282.8427,225.0000,-0.4000
16.84,1,282.8427,225.0000,-0.4000
16.85,1,282.8427,225.0000,-0.3000
16.86,1,282.8427,225.0000,-0.2000
16.87,1,282.8427,225.0000,-0.1000
16.88,1,282.8427,225.0000,0.0000
16.89,1,282.8427,225.0000,0.0000
16.9,1,282.8427,225.0000,0.1000
16.91,1,282.8427,225.0000,0.2000
16.92,1,282.8427,225.0000,0.3000
16.93,1,282.8427,225.0000,0.4000
16.94,1,282.8427,225.0000,0.4000
16.95,1,282.8427,225.0000,0.5000
16.96,1,282.8427,225.0000,0.6000
16.97,1,282.8427,225.0000,0.7000
16.98,1,282.8427,225.0000,0.8000
16.99,1,282.8427,225.0000,0.8000
17,1,282.8427,225.0000,0.9000
17.01,1,282.8427,225.0000,1.0000
17.02,1,282.8427,225.0000,1.1000
17.03,1,282.8427,225.0000,1.2000
17.04,1,282.8427,225.0000,1.2000
17.05,1,282.8427,225.0000,1.3000
17.06,1,282.8427,225.0000,1.4000
17.07,1,282.8427,225.0000,1.5000
17.08,1,282.8427,225.0000,1.6000
17.09,1,282.8427,225.0000,1.6000
17.1,1,282.8427,225.0000,1.7000
17.11,1,282.8427,225.0000,1.8000
17.12,1,282.8427,225.0000,1.9000
17.13,1,282.8427,225.0000,2.0000
17.14,1,282.8427,225.0000,2.0000
17.15,1,282.8427,225.0000,2.1000
17.16,1,282.8427,225.0000,2.2000
17.17,1,282.8427,225.0000,2.3000
17.18,1,282.8427,225.0000,2.4000
17.19,1,282.8427,225.0000,2.4000
17.2,1,282.8427,225.0000,2.5000
17.21,1,282.8427,225.0000,2.6000
17.22,1,282.8427,225.0000,2.7000
17.23,1,282.8427,225.0000,2.8000
17.24,1,282.8427,225.0000,2.8000
17.25,1,282.8427,225.0000,2.9000
17.26,1,282.8427,225.0000,3.0000
17.27,1,282.8427,225.0000,3.1000
17.28,1,282.8427,225.0000,3.2000
17.29,1,282.8427,225.0000,3.2000
17.3,1,282.8427,225.0000,3.3000
17.31,1,282.8427,225.0000,3.4000
17.32,1,282.8427,225.0000,3.5000
17.33,1,282.8427,225.0000,3.6000
17.34,1,282.8427,225.0000,3.6000
17.35,1,282.8427,225.0000,3.7000
17.36,1,282.8427,225.0000,3.8000
17.37,1,282.8427,225.0000,3.9000
17.38,1,282.8427,225.0000,4.0000
17.39,1,282.8427,225.0000,4.0000
17.4,1,282.8427,225.0000,4.1000
17.41,1,282.8427,225.0000,4.2000
17.42,1,282.8427,225.0000,4.3000
17.43,1,282.8427,225.0000,4.4000
17.44,1,282.8427,225.0000,4.4000
17.45,1,282.8427,225.0000,4.5000
17.46,1,282.8427,225.0000,4.6000
17.47,1,282.8427,225.0000,4.7000
17.48,1,282.8427,225.0000,4.8000
17.49,1,282.8427,225.0000,4.8000
17.5,1,282.8427,225.0000,4.9000
17.51,1,282.8427,225.0000,5.0000
21.25,3,200.0000,185.2606,-4.8000
21.26,3,200.0000,185.4325,-4.6000
21.27,3,200.0000,185.6044,-4.3000
21.28,3,200.0000,185.7763,-4.1000
21.29,3,200.0000,185.9481,-3.8000
21.3,3,200.0000,186.1200,-3.6000
21.31,3,200.0000,186.2919,-3.3000
21.32,3,200.0000,186.4638,-3.1000
21.33,3,200.0000,186.6357,-2.8000
21.34,3,200.0000,186.8076,-2.6000
21.35,3,200.0000,186.9795,-2.3000
21.36,3,200.0000,187.1514,-2.0000
21.37,3,200.0000,187.3232,-1.8000
21.38,3,200.0000,187.4951,-1.5000
21.39,3,200.0000,187.6670,-1.3000
21.4,3,200.0000,187.8389,-1.0000
21.41,3,200.0000,188.0108,-0.8000
21.42,3,200.0000,188.1827,-0.5000
21.43,3,200.0000,188.3546,-0.3000
21.44,3,200.0000,188.5265,0.0000
21.45,3,200.0000,188.6983,0.2000
21.46,3,200.0000,188.8702,0.5000
21.47,3,200.0000,189.0421,0.7000
21.48,3,200.0000,189.2140,1.0000
21.49,3,200.0000,189.3859,1.2000
21.5,3,200.0000,189.5578,1.5000
21.51,3,200.0000,189.7297,1.7000
21.52,3,200.0000,189.9016,2.0000
21.53,3,200.0000,190.0734,2.2000
21.54,3,200.0000,190.2453,2.5000
21.55,3,200.0000,190.4172,2.7000
21.56,3,200.0000,190.5891,3.0000
21.57,3,200.0000,190.7610,3.2000
21.58,3,200.0000,190.9329,3.5000
21.59,3,200.0000,191.1048,3.7000
21.6,3,200.0000,191.2767,4.0000
21.61,3,200.0000,191.4485,4.2000
21.62,3,200.0000,191.6204,4.5000
21.63,3,200.0000,191.7923,4.8000
35.54,3,200.0000,70.8876,-4.9000
35.55,3,200.0000,71.0595,-4.6000
35.56,3,200.0000,71.2314,-4.4000
35.57,3,200.0000,71.4033,-4.1000
35.58,3,200.0000,71.5752,-3.9000
35.59,3,200.0000,71.7470,-3.6000
35.6,3,200.0000,71.9189,-3.4000
35.61,3,200.0000,72.0908,-3.1000
35.62,3,200.0000,72.2627,-2.9000
35.63,3,200.0000,72.4346,-2.6000
35.64,3,200.0000,72.6065,-2.4000
35.65,3,200.0000,72.7784,-2.1000
35.66,3,200.0000,72.9502,-1.8000
35.67,3,200.0000,73.1221,-1.6000
35.68,3,200.0000,73.2940,-1.3000
35.69,3,200.0000,73.4659,-1.1000
35.7,3,200.0000,73.6378,-0.8000
35.71,3,200.0000,73.8097,-0.6000
35.72,3,200.0000,73.9816,-0.3000
35.73,3,200.0000,74.1535,-0.1000
35.74,3,200.0000,74.3253,0.2000
35.75,3,200.0000,74.4972,0.4000
35.76,3,200.0000,74.6691,0.7000
35.77,3,200.0000,74.8410,0.9000
35.78,3,200.0000,75.0129,1.2000
35.79,3,200.0000,75.1848,1.4000
35.8,3,200.0000,75.3567,1.7000
35.81,3,200.0000,75.5286,1.9000
35.82,3,200.0000,75.7004,2.2000
35.83,3,200.0000,75.8723,2.4000
35.84,3,200.0000,76.0442,2.7000
35.85,3,200.0000,76.2161,2.9000
35.86,3,200.0000,76.3880,3.2000
35.87,3,200.0000,76.5599,3.4000
35.88,3,200.0000,76.7318,3.7000
35.89,3,200.0000,76.9037,3.9000
35.9,3,200.0000,77.0755,4.2000
35.91,3,200.0000,77.2474,4.4000
35.92,3,200.0000,77.4193,4.7000
35.93,3,200.0000,77.5912,5.0000
38.77,0,282.8427,45.0000,-4.9000
38.78,0,282.8427,45.0000,-4.8000
38.79,0,282.8427,45.0000,-4.8000
38.8,0,282.8427,45.0000,-4.7000
38.81,0,282.8427,45.0000,-4.6000
38.82,0,282.8427,45.0000,-4.5000
38.83,0,282.8427,45.0000,-4.4000
38.84,0,282.8427,45.0000,-4.4000
38.85,0,282.8427,45.0000,-4.3000
38.86,0,282.8427,45.0000,-4.2000
38.87,0,282.8427,45.0000,-4.1000
38.88,0,282.8427,45.0000,-4.0000
38.89,0,282.8427,45.0000,-4.0000
38.9,0,282.8427,45.0000,-3.9000
38.91,0,282.8427,45.0000,-3.8000
38.92,0,282.8427,45.0000,-3.7000
38.93,0,282.8427,45.0000,-3.6000
38.94,0,282.8427,45.0000,-3.6000
38.95,0,282.8427,45.0000,-3.5000
38.96,0,282.8427,45.0000,-3.4000
38.97,0,282.8427,45.0000,-3.3000
38.98,0,282.8427,45.0000,-3.2000
38.99,0,282.8427,45.0000,-3.2000
39,0,282.8427,45.0000,-3.1000
39.01,0,282.8427,45.0000,-3.0000
39.02,0,282.8427,45.0000,-2.9000
39.03,0,282.8427,45.0000,-2.8000
39.04,0,282.8427,45.0000,-2.8000
39.05,0,282.8427,45.0000,-2.7000
39.06,0,282.8427,45.0000,-2.6000
39.07,0,282.8427,45.0000,-2.5000
39.08,0,282.8427,45.0000,-2.4000
39.09,0,282.8427,45.0000,-2.4000
39.1,0,282.8427,45.0000,-2.3000
39.11,0,282.8427,45.0000,-2.2000
39.12,0,282.8427,45.0000,-2.1000
39.13,0,282.8427,45.0000,-2.0000
39.14,0,282.8427,45.0000,-2.0000
39.15,0,282.8427,45.0000,-1.9000
39.16,0,282.8427,45.0000,-1.8000
39.17,0,282.8427,45.0000,-1.7000
39.18,0,282.8427,45.0000,-1.6000
39.19,0,282.8427,45.0000,-1.6000
39.2,0,282.8427,45.0000,-1.5000
39.21,0,282.8427,45.0000,-1.4000
39.22,0,282.8427,45.0000,-1.3000
39.23,0,282.8427,45.0000,-1.2000
39.24,0,282.8427,45.0000,-1.2000
39.25,0,282.8427,45.0000,-1.1000
39.26,0,282.8427,45.0000,-1.0000
39.27,0,282.8427,45.0000,-0.9000
39.28,0,282.8427,45.0000,-0.8000
39.29,0,282.8427,45.0000,-0.8000
39.3,0,282.8427,45.0000,-0.7000
39.31,0,282.8427,45.0000,-0.6000
39.32,0,282.8427,45.0000,-0.5000
39.33,0,282.8427,45.0000,-0.4000
39.34,0,282.8427,45.0000,-0.4000
39.35,0,282.8427,45.0000,-0.3000
39.36,0,282.8427,45.0000,-0.2000
39.37,0,282.8427,45.0000,-0.1000
39.38,0,282.8427,45.0000,0.0000
39.39,0,282.8427,45.0000,0.0000
39.4,0,282.8427,45.0000,0.1000
39.41,0,282.8427,45.0000,0.2000
39.42,0,282.8427,45.0000,0.3000
39.43,0,282.8427,45.0000,0.4000
39.44,0,282.8427,45.0000,0.4000
39.45,0,282.8427,45.0000,0.5000
39.46,0,282.8427,45.0000,0.6000
39.47,0,282.8427,45.0000,0.7000
39.48,0,282.8427,45.0000,0.8000
39.49,0,282.8427,45.0000,0.8000
39.5,0,282.8427,45.0000,0.9000
39.51,0,282.8427,45.0000,1.0000
39.52,0,282.8427,45.0000,1.1000
39.53,0,282.8427,45.0000,1.2000
39.54,0,282.8427,45.0000,1.2000
39.55,0,282.8427,45.0000,1.3000
39.56,0,282.8427,45.0000,1.4000
39.57,0,282.8427,45.0000,1.5000
39.58,0,282.8427,45.0000,1.6000
39.59,0,282.8427,45.0000,1.6000
39.6,0,282.8427,45.0000,1.7000
39.61,0,282.8427,45.0000,1.8000
39.62,0,282.8427,45.0000,1.9000
39.63,0,282.8427,45.0000,2.0000
39.64,0,282.8427,45.0000,2.0000
39.65,0,282.8427,45.0000,2.1000
39.66,0,282.8427,45.0000,2.2000
39.67,0,282.8427,45.0000,2.3000
39.68,0,282.8427,45.0000,2.4000
39.69,0,282.8427,45.0000,2.4000
39.7,0,282.8427,45.0000,2.5000
39.71,0,282.8427,45.0000,2.6000
39.72,0,282.8427,45.0000,2.7000
39.73,0,282.8427,45.0000,2.8000
39.74,0,282.8427,45.0000,2.8000
39.75,0,282.8427,45.0000,2.9000
39.76,0,282.8427,45.0000,3.0000
39.77,0,282.8427,45.0000,3.1000
39.78,0,282.8427,45.0000,3.2000
39.79,0,282.8427,45.0000,3.2000
39.8,0,282.8427,45.0000,3.3000
39.81,0,282.8427,45.0000,3.4000
39.82,0,282.8427,45.0000,3.5000
39.83,0,282.8427,45.0000,3.6000
39.84,0,282.8427,45.0000,3.6000
39.85,0,282.8427,45.0000,3.7000
39.86,0,282.8427,45.0000,3.8000
39.87,0,282.8427,45.0000,3.9000
39.88,0,282.8427,45.0000,4.0000
39.89,0,282.8427,45.0000,4.0000
39.9,0,282.8427,45.0000,4.1000
39.91,0,282.8427,45.0000,4.2000
39.92,0,282.8427,45.0000,4.3000
39.93,0,282.8427,45.0000,4.4000
39.94,0,282.8427,45.0000,4.4000
39.95,0,282.8427,45.0000,4.5000
39.96,0,282.8427,45.0000,4.6000
39.97,0,282.8427,45.0000,4.7000
39.98,0,282.8427,45.0000,4.8000
39.99,0,282.8427,45.0000,4.8000
40,0,282.8427,45.0000,4.9000
40.01,0,282.8427,45.0000,5.0000
47.72,5,622.4089,343.3105,5.0000
47.73,5,622.1518,343.2187,5.0000
47.74,5,621.8928,343.1268,5.0000
47.75,5,621.6320,343.0349,5.0000
47.76,5,621.3694,342.9430,4.9000
47.77,5,621.1050,342.8510,4.9000
47.78,5,620.8387,342.7590,4.9000
47.79,5,620.5707,342.6669,4.9000
47.8,5,620.3008,342.5748,4.9000
47.81,5,620.0291,342.4827,4.9000
47.82,5,619.7556,342.3905,4.9000
47.83,5,619.4803,342.2983,4.9000
47.84,5,619.2032,342.2061,4.8000
47.85,5,618.9243,342.1138,4.8000
47.86,5,618.6436,342.0215,4.8000
47.87,5,618.3611,341.9291,4.8000
47.88,5,618.0768,341.8367,4.8000
47.89,5,617.7907,341.7443,4.8000
47.9,5,617.5027,341.6518,4.8000
47.91,5,617.2130,341.5593,4.8000
47.92,5,616.9215,341.4668,4.7000
47.93,5,616.6282,341.3742,4.7000
47.94,5,616.3331,341.2815,4.7000
47.95,5,616.0362,341.1888,4.7000
47.96,5,615.7376,341.0961,4.7000
47.97,5,615.4371,341.0034,4.7000
47.98,5,615.1349,340.9106,4.7000
47.99,5,614.8308,340.8177,4.7000
48,5,614.5250,340.7248,4.6000
48.01,5,614.2174,340.6319,4.6000
48.02,5,613.9080,340.5389,4.6000
48.03,5,613.5969,340.4459,4.6000
48.04,5,613.2840,340.3528,4.6000
48.05,5,612.9693,340.2597,4.6000
48.06,5,612.6528,340.1665,4.6000
48.07,5,612.3345,340.0733,4.6000
48.08,5,612.0145,339.9801,4.5000
48.09,5,611.6927,339.8868,4.5000
48.1,5,611.3692,339.7935,4.5000
48.11,5,611.0439,339.7001,4.5000
48.12,5,610.7168,339.6066,4.5000
48.13,5,610.3879,339.5132,4.5000
48.14,5,610.0573,339.4196,4.5000
48.15,5,609.7250,339.3261,4.4000
48.16,5,609.3909,339.2324,4.4000
48.17,5,609.0550,339.1388,4.4000
48.18,5,608.7174,339.0450,4.4000
48.19,5,608.3780,338.9513,4.4000
48.2,5,608.0369,338.8574,4.4000
48.21,5,607.6940,338.7636,4.4000
48.22,5,607.3494,338.6697,4.3000
48.23,5,607.0030,338.5757,4.3000
48.24,5,606.6549,338.4817,4.3000
48.25,5,606.3051,338.3876,4.3000
48.26,5,605.9535,338.2935,4.3000
48.27,5,605.6002,338.1993,4.3000
48.28,5,605.2451,338.1051,4.3000
48.29,5,604.8883,338.0108,4.3000
48.3,5,604.5298,337.9164,4.2000
48.31,5,604.1696,337.8221,4.2000
48.32,5,603.8076,337.7276,4.2000
48.33,5,603.4439,337.6331,4.2000
48.34,5,603.0785,337.5386,4.2000
48.35,5,602.7114,337.4440,4.2000
48.36,5,602.3425,337.3493,4.1000
48.37,5,601.9719,337.2546,4.1000
48.38,5,601.5996,337.1598,4.1000
48.39,5,601.2256,337.0650,4.1000
48.4,5,600.8499,336.9701,4.1000
48.41,5,600.4725,336.8752,4.1000
48.42,5,600.0934,336.7802,4.1000
48.43,5,599.7125,336.6851,4.0000
48.44,5,599.3300,336.5900,4.0000
48.45,5,598.9458,336.4948,4.0000
48.46,5,598.5598,336.3996,4.0000
48.47,5,598.1722,336.3043,4.0000
48.48,5,597.7829,336.2089,4.0000
48.49,5,597.3918,336.1135,4.0000
48.5,5,596.9991,336.0181,3.9000
48.51,5,596.6047,335.9225,3.9000
48.52,5,596.2087,335.8269,3.9000
48.53,5,595.8109,335.7313,3.9000
48.54,5,595.4114,335.6356,3.9000
48.55,5,595.0103,335.5398,3.9000
48.56,5,594.6075,335.4440,3.8000
48.57,5,594.2030,335.3481,3.8000
48.58,5,593.7968,335.2521,3.8000
48.59,5,593.3890,335.1561,3.8000
48.6,5,592.9795,335.0600,3.8000
48.61,5,592.5684,334.9638,3.8000
48.62,5,592.1555,334.8676,3.7000
48.63,5,591.7410,334.7713,3.7000
48.64,5,591.3249,334.6749,3.7000
48.65,5,590.9071,334.5785,3.7000
48.66,5,590.4876,334.4820,3.7000
48.67,5,590.0665,334.3855,3.7000
48.68,5,589.6437,334.2888,3.6000
48.69,5,589.2193,334.1922,3.6000
48.7,5,588.7933,334.0954,3.6000
48.71,5,588.3655,333.9986,3.6000
48.72,5,587.9362,333.9017,3.6000
48.73,5,587.5052,333.8047,3.6000
48.74,5,587.0726,333.7077,3.5000
48.75,5,586.6383,333.6106,3.5000
48.76,5,586.2025,333.5134,3.5000
48.77,5,585.7649,333.4161,3.5000
48.78,5,585.3258,333.3188,3.5000
48.79,5,584.8850,333.2214,3.5000
48.8,5,584.4426,333.1240,3.4000
48.81,5,583.9986,333.0264,3.4000
48.82,5,583.5530,332.9288,3.4000
48.83,5,583.1058,332.8311,3.4000
48.84,5,582.6569,332.7334,3.4000
48.85,5,582.2065,332.6356,3.4000
48.86,5,581.7544,332.5377,3.3000
48.87,5,581.3007,332.4397,3.3000
48.88,5,580.8455,332.3416,3.3000
48.89,5,580.3886,332.2435,3.3000
48.9,5,579.9301,332.1453,3.3000
48.91,5,579.4701,332.0470,3.2000
48.92,5,579.0084,331.9486,3.2000
48.93,5,578.5452,331.8502,3.2000
48.94,5,578.0803,331.7516,3.2000
48.95,5,577.6139,331.6530,3.2000
48.96,5,577.1459,331.5544,3.2000
48.97,5,576.6763,331.4556,3.1000
48.98,5,576.2052,331.3568,3.1000
48.99,5,575.7325,331.2578,3.1000
49,5,575.2582,331.1588,3.1000
49.01,5,574.7823,331.0598,3.1000
49.02,5,574.3049,330.9606,3.0000
49.03,5,573.8259,330.8613,3.0000
49.04,5,573.3454,330.7620,3.0000
49.05,5,572.8633,330.6626,3.0000
49.06,5,572.3796,330.5631,3.0000
49.07,5,571.8944,330.4635,2.9000
49.08,5,571.4077,330.3638,2.9000
49.09,5,570.9194,330.2641,2.9000
49.1,5,570.4295,330.1642,2.9000
49.11,5,569.9381,330.0643,2.9000
49.12,5,569.4452,329.9643,2.8000
49.13,5,568.9508,329.8642,2.8000
49.14,5,568.4548,329.7640,2.8000
49.15,5,567.9573,329.6637,2.8000
49.16,5,567.4582,329.5633,2.8000
49.17,5,566.9577,329.4629,2.7000
49.18,5,566.4556,329.3623,2.7000
49.19,5,565.9520,329.2617,2.7000
49.2,5,565.4469,329.1609,2.7000
49.21,5,564.9403,329.0601,2.7000
49.22,5,564.4321,328.9592,2.6000
49.23,5,563.9225,328.8582,2.6000
49.24,5,563.4114,328.7571,2.6000
49.25,5,562.8987,328.6559,2.6000
49.26,5,562.3846,328.5546,2.6000
49.27,5,561.8690,328.4532,2.5000
49.28,5,561.3519,328.3517,2.5000
49.29,5,560.8333,328.2501,2.5000
49.3,5,560.3132,328.1484,2.5000
49.31,5,559.7916,328.0467,2.4000
49.32,5,559.2686,327.9448,2.4000
49.33,5,558.7441,327.8428,2.4000
49.34,5,558.2181,327.7408,2.4000
49.35,5,557.6907,327.6386,2.4000
49.36,5,557.1617,327.5363,2.3000
49.37,5,556.6314,327.4340,2.3000
49.38,5,556.0995,327.3315,2.3000
49.39,5,555.5662,327.2289,2.3000
49.4,5,555.0315,327.1263,2.2000
49.41,5,554.4953,327.0235,2.2000
49.42,5,553.9577,326.9206,2.2000
49.43,5,553.4186,326.8176,2.2000
49.44,5,552.8781,326.7145,2.2000
49.45,5,552.3361,326.6114,2.1000
49.46,5,551.7928,326.5081,2.1000
49.47,5,551.2480,326.4047,2.1000
49.48,5,550.7017,326.3011,2.1000
49.49,5,550.1541,326.1975,2.0000
49.5,5,549.6050,326.0938,2.0000
49.51,5,549.0545,325.9900,2.0000
49.52,5,548.5026,325.8860,2.0000
49.53,5,547.9493,325.7820,1.9000
49.54,5,547.3946,325.6778,1.9000
49.55,5,546.8384,325.5735,1.9000
49.56,5,546.2809,325.4691,1.9000
49.57,5,545.7220,325.3646,1.8000
49.58,5,545.1617,325.2600,1.8000
49.59,5,544.6000,325.1553,1.8000
49.6,5,544.0369,325.0505,1.8000
49.61,5,543.4725,324.9455,1.7000
49.62,5,542.9066,324.8404,1.7000
49.63,5,542.3394,324.7353,1.7000
49.64,5,541.7709,324.6300,1.7000
49.65,5,541.2009,324.5245,1.6000
49.66,5,540.6296,324.4190,1.6000
49.67,5,540.0570,324.3133,1.6000
49.68,5,539.4829,324.2076,1.6000
49.69,5,538.9076,324.1017,1.5000
49.7,5,538.3308,323.9957,1.5000
49.71,5,537.7528,323.8895,1.5000
49.72,5,537.1734,323.7833,1.5000
49.73,5,536.5926,323.6769,1.4000
49.74,5,536.0106,323.5704,1.4000
49.75,5,535.4271,323.4637,1.4000
49.76,5,534.8424,323.3570,1.4000
49.77,5,534.2564,323.2501,1.3000
49.78,5,533.6690,323.1431,1.3000
49.79,5,533.0803,323.0360,1.3000
49.8,5,532.4903,322.9287,1.2000
49.81,5,531.8990,322.8213,1.2000
49.82,5,531.3064,322.7138,1.2000
49.83,3,200.0000,316.5146,-4.9000
49.83,5,530.7125,322.6061,1.2000
49.84,3,200.0000,316.6865,-4.7000
49.84,5,530.1173,322.4984,1.1000
49.85,3,200.0000,316.8584,-4.4000
49.85,5,529.5208,322.3904,1.1000
49.86,3,200.0000,317.0303,-4.2000
49.86,5,528.9230,322.2824,1.1000
49.87,3,200.0000,317.2022,-3.9000
49.87,5,528.3240,322.1742,1.1000
49.88,3,200.0000,317.3740,-3.7000
49.88,5,527.7236,322.0659,1.0000
49.89,3,200.0000,317.5459,-3.4000
49.89,5,527.1220,321.9575,1.0000
49.9,3,200.0000,317.7178,-3.2000
49.9,5,526.5191,321.8489,1.0000
49.91,3,200.0000,317.8897,-2.9000
49.91,5,525.9150,321.7402,0.9000
49.92,3,200.0000,318.0616,-2.7000
49.92,5,525.3096,321.6313,0.9000
49.93,3,200.0000,318.2335,-2.4000
49.93,5,524.7029,321.5224,0.9000
49.94,3,200.0000,318.4054,-2.2000
49.94,5,524.0949,321.4132,0.9000
49.95,3,200.0000,318.5773,-1.9000
49.95,5,523.4858,321.3040,0.8000
49.96,3,200.0000,318.7491,-1.7000
49.96,5,522.8753,321.1946,0.8000
49.97,3,200.0000,318.9210,-1.4000
49.97,5,522.2637,321.0850,0.8000
49.98,3,200.0000,319.0929,-1.1000
49.98,5,521.6507,320.9753,0.7000
49.99,3,200.0000,319.2648,-0.9000
49.99,5,521.0366,320.8655,0.7000
50,3,200.0000,319.4367,-0.6000
50,5,520.4212,320.7555,0.7000
50.01,3,200.0000,319.6086,-0.4000
50.01,5,519.8046,320.6454,0.6000
50.02,3,200.0000,319.7805,-0.1000
50.02,5,519.1868,320.5352,0.6000
50.03,3,200.0000,319.9524,0.1000
50.03,5,518.5678,320.4248,0.6000
50.04,3,200.0000,320.1242,0.4000
50.04,5,517.9475,320.3142,0.6000
50.05,3,200.0000,320.2961,0.6000
50.05,5,517.3260,320.2035,0.5000
50.06,3,200.0000,320.4680,0.9000
50.06,5,516.7034,320.0927,0.5000
50.07,3,200.0000,320.6399,1.1000
50.07,5,516.0795,319.9817,0.5000
50.08,3,200.0000,320.8118,1.4000
50.08,5,515.4544,319.8706,0.4000
50.09,3,200.0000,320.9837,1.6000
50.09,5,514.8282,319.7593,0.4000
50.1,3,200.0000,321.1556,1.9000
50.1,5,514.2007,319.6478,0.4000
50.11,3,200.0000,321.3275,2.1000
50.11,5,513.5721,319.5363,0.3000
50.12,3,200.0000,321.4993,2.4000
50.12,5,512.9423,319.4245,0.3000
50.13,3,200.0000,321.6712,2.6000
50.13,5,512.3113,319.3126,0.3000
50.14,3,200.0000,321.8431,2.9000
50.14,5,511.6792,319.2006,0.2000
50.15,3,200.0000,322.0150,3.1000
50.15,5,511.0458,319.0884,0.2000
50.16,3,200.0000,322.1869,3.4000
50.16,5,510.4114,318.9760,0.2000
50.17,3,200.0000,322.3588,3.6000
50.17,5,509.7757,318.8635,0.1000
50.18,3,200.0000,322.5307,3.9000
50.18,5,509.1389,318.7508,0.1000
50.19,3,200.0000,322.7026,4.1000
50.19,5,508.5010,318.6380,0.1000
50.2,3,200.0000,322.8744,4.4000
50.2,5,507.8619,318.5250,0.0000
50.21,3,200.0000,323.0463,4.6000
50.21,5,507.2217,318.4118,0.0000
50.22,3,200.0000,323.2182,4.9000
50.22,5,506.5804,318.2985,0.0000
50.23,5,505.9379,318.1850,-0.1000
50.24,5,505.2943,318.0714,-0.1000
50.25,5,504.6496,317.9576,-0.1000
50.26,5,504.0037,317.8436,-0.2000
50.27,5,503.3568,317.7295,-0.2000
50.28,5,502.7087,317.6152,-0.2000
50.29,5,502.0596,317.5007,-0.3000
50.3,5,501.4093,317.3861,-0.3000
50.31,5,500.7580,317.2713,-0.3000
50.32,5,500.1055,317.1563,-0.4000
50.33,5,499.4520,317.0412,-0.4000
50.34,5,498.7974,316.9259,-0.4000
50.35,5,498.1418,316.8104,-0.5000
